year,quarter,region,price_sqm,source,period
2018,3,1.0,36486.48648648649,transactions,2018-07-01
2018,4,1.0,37619.04761904762,transactions,2018-10-01
2019,1,1.0,39130.434782608696,transactions,2019-01-01
2019,2,1.0,40112.99435028249,transactions,2019-04-01
2019,3,1.0,41666.66666666666,transactions,2019-07-01
2019,4,1.0,43883.991228070176,transactions,2019-10-01
2020,1,1.0,42857.142857142855,transactions,2020-01-01
2020,2,1.0,43918.91891891892,transactions,2020-04-01
2020,3,1.0,45950.81967213115,transactions,2020-07-01
2020,4,1.0,47142.857142857145,transactions,2020-10-01
2021,1,1.0,50352.94117647059,transactions,2021-01-01
2021,2,1.0,64594.59459459459,transactions,2021-04-01
2021,3,1.0,75000.0,transactions,2021-07-01
2021,4,1.0,86834.73389355742,transactions,2021-10-01
2022,1,1.0,93191.03641456581,rosstat_index,2022-01-01
2022,2,1.0,96676.38117647058,rosstat_index,2022-04-01
2022,3,1.0,102423.79203741174,rosstat_index,2022-07-01
2022,4,1.0,101814.37047478915,rosstat_index,2022-10-01
2023,1,1.0,103209.22735029378,rosstat_index,2023-01-01
2023,2,1.0,103864.60594396814,rosstat_index,2023-04-01
2023,3,1.0,102722.09527858449,rosstat_index,2023-07-01
2023,4,1.0,106574.1738515314,rosstat_index,2023-10-01
2024,1,1.0,109552.92201068171,rosstat_index,2024-01-01
2024,2,1.0,110610.10770808479,rosstat_index,2024-04-01
2024,3,1.0,111815.75788210292,rosstat_index,2024-07-01
2024,4,1.0,114387.52031339127,rosstat_index,2024-10-01
2025,1,1.0,117127.101424897,rosstat_index,2025-01-01
2025,2,1.0,117103.67600461203,rosstat_index,2025-04-01
2025,3,1.0,118409.38199206347,rosstat_index,2025-07-01
2025,4,1.0,120765.72869370553,rosstat_index,2025-10-01
2026,1,1.0,121321.25104569658,rosstat_index,2026-01-01
2018,1,2.0,48913.04347826087,transactions,2018-01-01
2018,3,2.0,52500.0,transactions,2018-07-01
2018,4,2.0,53729.0350877193,transactions,2018-10-01
2019,1,2.0,50791.55672823219,transactions,2019-01-01
2019,2,2.0,52571.42857142857,transactions,2019-04-01
2019,3,2.0,47142.857142857145,transactions,2019-07-01
2019,4,2.0,56049.002347417845,transactions,2019-10-01
2020,1,2.0,56857.95370779891,transactions,2020-01-01
2020,2,2.0,57949.44828937059,transactions,2020-04-01
2020,3,2.0,58620.68965517241,transactions,2020-07-01
2020,4,2.0,64500.0,transactions,2020-10-01
2021,1,2.0,66406.25,transactions,2021-01-01
2021,2,2.0,65600.88440970794,transactions,2021-04-01
2021,3,2.0,73076.92307692308,transactions,2021-07-01
2021,4,2.0,78125.0,transactions,2021-10-01
2022,1,2.0,82804.68750000001,rosstat_index,2022-01-01
2022,2,2.0,88244.95546875002,rosstat_index,2022-04-01
2022,3,2.0,93680.84472562501,rosstat_index,2022-07-01
2022,4,2.0,96088.44243507355,rosstat_index,2022-10-01
2023,1,2.0,95084.31821162705,rosstat_index,2023-01-01
2023,2,2.0,96211.06738243483,rosstat_index,2023-04-01
2023,3,2.0,99246.52655835066,rosstat_index,2023-07-01
2023,4,2.0,102829.32616710711,rosstat_index,2023-10-01
2024,1,2.0,106001.61087936237,rosstat_index,2024-01-01
2024,2,2.0,108137.54333858153,rosstat_index,2024-04-01
2024,3,2.0,111381.66963873897,rosstat_index,2024-07-01
2024,4,2.0,114561.61630692495,rosstat_index,2024-10-01
2025,1,2.0,115111.51206519819,rosstat_index,2025-01-01
2025,2,2.0,114812.22213382868,rosstat_index,2025-04-01
2025,3,2.0,114938.5155781759,rosstat_index,2025-07-01
2025,4,2.0,115622.39974586605,rosstat_index,2025-10-01
2026,1,2.0,117304.70566216839,rosstat_index,2026-01-01
2018,2,3.0,44036.69724770642,transactions,2018-04-01
2018,3,3.0,42084.3776106934,transactions,2018-07-01
2018,4,3.0,43380.81603435934,transactions,2018-10-01
2019,1,3.0,45383.52272727273,transactions,2019-01-01
2019,2,3.0,48000.0,transactions,2019-04-01
2019,3,3.0,46236.66265543522,transactions,2019-07-01
2019,4,3.0,47222.22222222222,transactions,2019-10-01
2020,1,3.0,50227.57288243221,transactions,2020-01-01
2020,2,3.0,51903.11418685121,transactions,2020-04-01
2020,3,3.0,55555.55555555556,transactions,2020-07-01
2020,4,3.0,61024.30555555556,transactions,2020-10-01
2021,1,3.0,71868.58316221765,transactions,2021-01-01
2021,2,3.0,76600.0,transactions,2021-04-01
2021,3,3.0,79677.41935483871,transactions,2021-07-01
2021,4,3.0,84912.77044969745,transactions,2021-10-01
2022,1,3.0,88063.03423338123,rosstat_index,2022-01-01
2022,2,3.0,89885.9390420122,rosstat_index,2022-04-01
2022,3,3.0,92497.12557118267,rosstat_index,2022-07-01
2022,4,3.0,90332.69283281699,rosstat_index,2022-10-01
2023,1,3.0,93254.95544595862,rosstat_index,2023-01-01
2023,2,3.0,93441.46535685055,rosstat_index,2023-04-01
2023,3,3.0,94235.71781238377,rosstat_index,2023-07-01
2023,4,3.0,98113.51760036337,rosstat_index,2023-10-01
2024,1,3.0,108876.57048112323,rosstat_index,2024-01-01
2024,2,3.0,112251.74416603804,rosstat_index,2024-04-01
2024,3,3.0,113980.42102619502,rosstat_index,2024-07-01
2024,4,3.0,115861.09797312725,rosstat_index,2024-10-01
2025,1,3.0,120617.19604492412,rosstat_index,2025-01-01
2025,2,3.0,123403.45327356186,rosstat_index,2025-04-01
2025,3,3.0,125069.39989275493,rosstat_index,2025-07-01
2025,4,3.0,127589.54830059395,rosstat_index,2025-10-01
2026,1,3.0,132788.82239384315,rosstat_index,2026-01-01
2018,3,5.0,37142.857142857145,transactions,2018-07-01
2018,4,5.0,38181.81818181818,transactions,2018-10-01
2019,1,5.0,38126.5664160401,transactions,2019-01-01
2019,2,5.0,40000.0,transactions,2019-04-01
2019,3,5.0,39931.66287015945,transactions,2019-07-01
2019,4,5.0,39473.68421052631,transactions,2019-10-01
2020,1,5.0,41091.26984126984,transactions,2020-01-01
2020,2,5.0,40909.09090909091,transactions,2020-04-01
2020,3,5.0,43000.0,transactions,2020-07-01
2020,4,5.0,44147.4047453751,transactions,2020-10-01
2021,1,5.0,42533.024532509866,transactions,2021-01-01
2021,2,5.0,48571.42857142857,transactions,2021-04-01
2021,3,5.0,53333.333333333336,transactions,2021-07-01
2021,4,5.0,57575.757575757576,transactions,2021-10-01
2022,1,5.0,60114.84848484849,rosstat_index,2022-01-01
2022,2,5.0,60523.629454545466,rosstat_index,2022-04-01
2022,3,5.0,63589.15128641819,rosstat_index,2022-07-01
2022,4,5.0,66425.22743379245,rosstat_index,2022-10-01
2023,1,5.0,67823.47847127377,rosstat_index,2023-01-01
2023,2,5.0,69810.7063904821,rosstat_index,2023-04-01
2023,3,5.0,70592.5863020555,rosstat_index,2023-07-01
2023,4,5.0,73730.42676318187,rosstat_index,2023-10-01
2024,1,5.0,74899.05402737831,rosstat_index,2024-01-01
2024,2,5.0,80407.87945109198,rosstat_index,2024-04-01
2024,3,5.0,84794.12927514905,rosstat_index,2024-07-01
2024,4,5.0,86485.7721541883,rosstat_index,2024-10-01
2025,1,5.0,87290.08983522226,rosstat_index,2025-01-01
2025,2,5.0,88049.51361678871,rosstat_index,2025-04-01
2025,3,5.0,86499.84217713322,rosstat_index,2025-07-01
