iter	RMSE
0	7327517.726
1	7144911.691
2	6976748.914
3	6822709.093
4	6677250.189
5	6540889.812
6	6413882.304
7	6298131.333
8	6190341.889
9	6087748.347
10	5993254.626
11	5905263.203
12	5822336.397
13	5745679.897
14	5675811.79
15	5608667.596
16	5548690.934
17	5493572.871
18	5441135.059
19	5392446.926
20	5347655.791
21	5305315.836
22	5262652.512
23	5226002.703
24	5192448.363
25	5161125.63
26	5129597.719
27	5101945.206
28	5074950.335
29	5048516.382
30	5024029.379
31	5002567.705
32	4983065.845
33	4961883.702
34	4941232.949
35	4924498.692
36	4907175.176
37	4890094.233
38	4875851.505
39	4859400.476
40	4847902.197
41	4833998.55
42	4823175.414
43	4813940.635
44	4804549.482
45	4789493.065
46	4775999.992
47	4767323.534
48	4759507.721
49	4750620.588
50	4738351.973
51	4730546.195
52	4721507.051
53	4712122.507
54	4704496.275
55	4698527.285
56	4690539.435
57	4682175.01
58	4673916.485
59	4666243.965
60	4659828.302
61	4654928.591
62	4649112.796
63	4641664.797
64	4635192.02
65	4626974.419
66	4615843.129
67	4609660.672
68	4602038.815
69	4597790.436
70	4588702.719
71	4582027.007
72	4575731.327
73	4570189.891
74	4563594.932
75	4560121.922
76	4552769.666
77	4547449.79
78	4541178.844
79	4535317.621
80	4530265.685
81	4524330.623
82	4516662.445
83	4508165.822
84	4505457.643
85	4499860.704
86	4495415.283
87	4490834.482
88	4487518.665
89	4484656.617
90	4480210.346
91	4473325.896
92	4469002.928
93	4462351.56
94	4457801.555
95	4453383.915
96	4447829.301
97	4441117.677
98	4436575.762
99	4430169.84
100	4424586.964
101	4418095.498
102	4411539.22
103	4406890.986
104	4401548.082
105	4396879.384
106	4393023.897
107	4390558.132
108	4385654.144
109	4380160.219
110	4376724.922
111	4373495.203
112	4371392.056
113	4369258.945
114	4363884.563
115	4359043.737
116	4356222.219
117	4354350.495
118	4349732.185
119	4344622.604
120	4342157.294
121	4338323.081
122	4335435.535
123	4330658.684
124	4328861.375
125	4324065.908
126	4321072.944
127	4319266.544
128	4314809.895
129	4312983.04
130	4309301.191
131	4305718.483
132	4301239.476
133	4299699.34
134	4297465.43
135	4293469.483
136	4291084.502
137	4288853.21
138	4284294.931
139	4283009.701
140	4279172.318
141	4277749.525
142	4273906.482
143	4270092.762
144	4266130.157
145	4264683.945
146	4263261.525
147	4261263.009
148	4257022.221
149	4252364.459
150	4249596.32
151	4248049.183
152	4246071.681
153	4242945.956
154	4241234.434
155	4239850.774
156	4235420.794
157	4232324.098
158	4229332.328
159	4223958.664
160	4220422.173
161	4218733.214
162	4215293.135
163	4212590.137
164	4211273.119
165	4209956.751
166	4209018.745
167	4207618.136
168	4204532.201
169	4200950.546
170	4196938.243
171	4193567.187
172	4191007.691
173	4188457.66
174	4182798.308
175	4180190.259
176	4176759.981
177	4175336.079
178	4170670.291
179	4169287.762
180	4168053.906
181	4167332.109
182	4164480.071
183	4161723.654
184	4160335.563
185	4158522.358
186	4154617.78
187	4151310.989
188	4148728.58
