iter	Passed	Remaining
0	165	82367
1	304	75728
2	440	73014
3	576	71547
4	705	69795
5	842	69399
6	974	68613
7	1100	67706
8	1227	66967
9	1353	66308
10	1474	65548
11	1600	65104
12	1736	65067
13	1865	64744
14	2000	64697
15	2139	64710
16	2259	64190
17	2381	63776
18	2519	63785
19	2653	63685
20	2783	63490
21	2926	63584
22	3066	63603
23	3207	63624
24	3356	63768
25	3503	63875
26	3641	63800
27	3798	64033
28	3942	64031
29	4087	64029
30	4238	64119
31	4388	64174
32	4553	64438
33	4692	64312
34	4836	64257
35	4964	63988
36	5096	63769
37	5238	63690
38	5380	63598
39	5525	63548
40	5658	63352
41	5795	63201
42	5943	63171
43	6065	62858
44	6215	62848
45	6383	62998
46	6531	62955
47	6669	62802
48	6806	62649
49	6984	62857
50	7109	62592
51	7238	62363
52	7364	62115
53	7505	61990
54	7652	61911
55	7797	61823
56	7942	61726
57	8082	61594
58	8229	61512
59	8375	61420
60	8494	61130
61	8652	61123
62	8801	61049
63	8944	60932
64	9100	60904
65	9267	60939
66	9412	60827
67	9557	60721
68	9680	60469
69	9834	60411
70	9968	60234
71	10114	60126
72	10237	59880
73	10373	59716
74	10511	59565
75	10636	59341
76	10759	59109
77	10895	58948
78	11007	58658
79	11129	58428
80	11262	58261
81	11437	58302
82	11550	58029
83	11665	57773
84	11784	57537
85	11917	57368
86	12052	57214
87	12219	57211
88	12353	57047
89	12491	56905
90	12620	56723
91	12753	56558
92	12879	56363
93	13000	56152
94	13125	55957
95	13281	55892
96	13419	55755
97	13553	55596
98	13685	55433
99	13825	55303
100	13956	55133
101	14082	54949
102	14266	54987
103	14413	54883
104	14535	54682
105	14676	54553
106	14798	54354
107	14931	54196
108	15058	54016
109	15195	53874
110	15335	53742
111	15478	53623
112	15636	53553
113	15873	53748
114	16024	53648
115	16144	53443
116	16264	53242
117	16393	53069
118	16516	52878
119	16631	52667
120	16744	52448
121	16866	52259
122	17007	52129
123	17116	51902
124	17251	51753
125	17378	51584
126	17513	51437
127	17668	51350
128	17797	51184
129	17947	51081
130	18080	50928
131	18226	50812
132	18360	50664
133	18529	50611
134	18673	50488
135	18794	50303
136	18921	50136
137	19063	50006
138	19200	49865
139	19353	49766
140	19480	49599
141	19635	49502
142	19744	49292
143	19865	49111
144	19989	48940
145	20157	48875
146	20303	48756
